Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Altra,Via Olympus 2,https://runrepeat.com/altra-via-olympus-2,,"Apr 2, 2024",Running,84.0,"Our verdict: The VIA Olympus 2 marks a notable leap forward from Altra, enhancing cushioning and durability while maintaining the beloved features of its predecessor—spacious fit, slightly rockered geometry, and unparalleled comfort. We were thrilled by its updated plush midsole, though we noted it's still on the heavier side and the tongue could benefit from a gusset. Despite these minor points, we are convinced that for zero-drop runners seeking a reliable companion for long runs, the VIA Olympus 2 is unmatched.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Comfortable  |, |, Low drop  |, |, Zero drop","Incredibly roomy toebox, Authentic zero-drop design, Extremely cushy and soft midsole, Superb all-around durability, Cozy upper, Remarkably stable, Ideal for long runs","Limited ventilation, Tongue not gusseted, Still a bit heavy",34.8,35.0,-0.2,14.5,17.4,20.0,5.0,True to size,29.2,4.0,3.0,115.2,95.3,46.3,12.0,10.41,295.0,2.0,5.0,4.0,73.3,0.6,3.0,$165,No,6.1,,,Yes,,,,,,,,41.3,102.35,86.4
Brooks,Levitate 6,https://runrepeat.com/brooks-levitate-6,,"Oct 8, 2023",Running,90.0,"Our verdict: The Brooks Levitate 6 might be a little too heavy to hover, but it sure can bounce! The shoe’s updated DNA Loft midsole provides us with a responsive and springy ride that feels peppy and protective over any distance. It also delivers even more comfort than we've come to expect from daily trainers; whether out for easy recovery days or gritting our teeth through long-haul efforts. What’s more, with an incredibly consistent performance in our freezer tests, the Levitate 6 is truly a shoe for all seasons!",,Daily running,Forefoot/Midfoot strike,"Knit, Mesh, Vegan  |, ,, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable","Great impact dampening, Fun and springy ride, Good for long distances, Responsive and capable at high paces, Extremely breathable, No break-in period required, Comfortable and durable upper construction, Supportive structure provides secure lockdown, Grippy and resilient outsole, Consistent performance all year round","Could be lighter, Not for wide feet, Pricey for a daily trainer",34.3,26.6,7.7,19.8,20.8,5.0,5.8,True to size,,3.0,3.0,114.7,87.5,29.3,22.0,10.72,304.0,5.0,4.0,5.0,80.5,0.5,3.5,$150,Yes,4.5,,Finger loop,Yes,,,,,,,,24.0,96.6,78.3
Asics,Noosa Tri 16,https://runrepeat.com/asics-noosa-tri-16,,"Aug 5, 2024",Running,85.0,"Our verdict: The ASICS Noosa Tri 16 continues its legacy with a lightweight build and colorful design while advancing key aspects like cushioning and traction. In our extensive testing, we found it ideal for midfoot and forefoot strikers who need a versatile and reasonably-priced shoe capable of handling both daily runs and demanding speedwork. And it remains a fantastic choice for triathletes!",,Tempo,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Lightweight","Exceptionally lightweight, Attention-grabbing aesthetic, Gusseted tongue, Highly responsive and fun, Comfortable upper, Great for triathlon, Really versatile, Fantastic price point, Breathability","Upper longevity, Minimal tongue padding",32.8,26.9,5.9,18.3,19.5,7.0,4.4,Half size small,31.2,4.0,3.0,114.9,88.6,23.8,15.0,7.65,217.0,5.0,1.0,4.0,70.5,1.0,2.3,$135,No,1.2,Both sides (semi),Finger loop,Yes,,,,,,,,20.7,99.4,78.55
Brooks,Beast Gts 24,https://runrepeat.com/brooks-beast-gts-24,,"Nov 10, 2024",Running,87.0,"Our verdict: The Brooks Beast GTS 24 fully lives up to its name with unparalleled stability and long-lasting outsole durability—qualities we found are hard to match. However, its substantial weight and firm midsole create a ride that’s anything but lively, fun or energetic. Still, for those focused on stability and value over speed or lightness, this shoe it’s undeniably a... beast!",,Daily running,Heel strike,"Mesh, Mesh",Road,"For heavy runners  |, |, For big guys  |, |, Maximalist","Wear-resistant, durable outsole, Comfortable upper, Exceptional for heel strikers, Doubles as a versatile lifestyle shoe, HIgh-quality build, Innovative tongue, World-class stability, Stability-focused footbed","Limited breathability, Not for forefoot strikers, Extra-firm midsole feel, It's still too heavy!",38.5,25.8,12.7,30.1,35.0,16.0,6.5,True to size,,4.0,5.0,116.8,101.9,33.9,27.0,12.59,357.0,2.0,2.0,3.0,85.5,0.7,4.8,$160,No,9.6,One side (semi),,Yes,,,,,,,,26.6,99.5,77.9
Brooks,Glycerin Stealthfit 20,https://runrepeat.com/brooks-glycerin-stealthfit-20,,"Nov 6, 2023",Running,86.0,"Our verdict: Offering an updated upper that differs from the standard version, the Brooks Glycerin StealthFit 20 is a compelling shoe that gained our admiration. It’s kind of a perfect mix, where softness meets responsiveness, and comfort meets reliability. Daily trainer at the core, it’s a true workhorse that we found to be perfect to cover miles and miles at a relaxed pace, without worrying about tiring our legs.",,Daily running,Heel strike,"Knit, Vegan, ,",Road,"Breathable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Responsive midsole, Good impact dampening, Suitable for recovery days and long distances, Stable and smooth ride, Extremely breathable, Seamless upper, Snug, sock-like fit, Super comfy and suitable for all day wear, Durable outsole and upper construction, Great traction, even on wet surfaces","Somewhat firm midsole, Needs breaking in, Pricey for a daily trainer",38.8,26.3,12.5,29.3,33.4,14.0,5.0,True to size,,4.0,3.0,118.6,97.2,32.3,5.0,9.91,281.0,5.0,3.0,4.0,75.0,0.7,4.0,$160,No,1.5,Sock like,Finger loop,Yes,,,,,,,,30.8,96.5,77.6
Nike,Air Zoom Pegasus 38,https://runrepeat.com/nike-air-zoom-pegasus-38,"Apr 29, 2021","Apr 23, 2021",Running,87.0,"Our verdict: If there's one thing that can't be taken away from the Pegasus 38, it's that it's the GOAT of all workhorse shoes on the market! On our runs, it oozes plushness, stability, and pop. It can do slow days, tempo sessions, and even gym workouts. If you want a fun ride, I couldn't praise the Pegasus 38 enough!",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Wider than Pegasus 37, Very stable ride, Peppy toe-off, Hugs your feet, Padded upper, Very durable (400-500miles), Grippy even on dirt roads, Legit workhorse, Doubles as a gym shoe, A joy to run in","Warm, lacks breathability, Above-average weight",31.8,23.1,8.7,,,,4.4,True to size,,2.0,3.0,109.5,80.7,36.2,31.0,10.26,291.0,3.0,,,87.5,,3.7,$120,,5.6,Both sides (full),,Yes,,,,,,,,27.6,99.3,
Adidas,Supernova Plus,https://runrepeat.com/adidas-supernova-plus,,"Jan 7, 2022",Running,86.0,"Our verdict: The Adidas Supernova+ is a less cushioned shoe with neutral support. Made of durable recycled materials, this shoe enticed me because it’s ecologically conscious as well as functional. I recommend it to anyone of average-to-light weight as a training shoe for a road race. It may not suit heavy strikers who typically wish for more cushioning and motion control. But judging from my runs, this is also an excellent shoe for beginners up to intermediate runners and makes an excellent daily trainer with a lot of style.",,Daily running,Heel strike,"Mesh, Mesh",Road,,"Excellent energy return, Very lightweight, Durable, Secure lockdown, Reasonably-priced, Reflective elements, Eco-friendly materials, Stylish","Not for wet roads, Not for hot weather, Fits narrow",30.7,21.4,9.3,25.6,28.3,11.0,4.4,,,3.0,3.0,110.3,88.9,39.7,41.0,11.82,335.0,,,,76.5,,3.0,$120,,4.1,,,Yes,,,,,,,,20.0,100.4,
Saucony,Axon 3,https://runrepeat.com/saucony-axon-3,Feb 2023,"Jan 18, 2024",Running,89.0,"Our verdict: In our view, the Saucony Axon 3 truly defines ""value"" in the running shoe world. Priced at just $100, this latest iteration significantly improves upon the Axon 2 with better cushioning, reduced weight, an enhanced fit, and a more durable outsole. We think it serves a wide range of runners brilliantly, from beginners seeking their first versatile shoe to high-mileage runners looking for a dependable daily workhorse. The minor issues we found in the lab, like a bit of excessive stiffness and a narrower forefoot, hardly detract from what is an all-around exceptional shoe.",,"Daily running, Tempo",Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Lightweight","Incredible value at only $100, Significant weight reduction from version 2, Impressively cushioned with PWRRUN foam, Fantastic durability, Suitable for quicker paces, Excellent as a daily workhorse, Lovely upper, Works for short and long runs","Probably too stiff for very relaxed runs, Slightly narrower forefoot than before",33.6,27.9,5.7,18.3,22.0,20.0,4.7,True to size,29.1,4.0,3.0,108.8,95.7,35.8,18.0,8.61,244.0,4.0,2.0,5.0,82.8,0.7,3.9,$100,No,5.0,Both sides (semi),Finger loop,Yes,,,,,,,,30.4,98.9,74.75
Mizuno,Wave Rebellion,https://runrepeat.com/mizuno-wave-rebellion,Sep 2021,"Jul 25, 2023",Running,87.0,"Our verdict: The Mizuno Wave Rebellion breaks away from convention with a prominent heel cutout exposing its fiberglass Wave Plate. This lightweight, all-pace, high-stability shoe not only looks good to us, but also provides ample cushioning for those long runs. Yet, concerns about durability emerged in our lab, particularly given its near $200 price tag.",,Tempo,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Comfortable  |, |, Maximalist  |, |, Lightweight","Unique geometry, Exceptionally lightweight, Responsive midsole, Versatile for both tempo pace and long runs, Superior heel lock, Remarkable stability, Spacious toebox","Potentially overpriced at $180, Lacks outsole durability, Thin oversized tongue",36.4,28.7,7.7,24.3,33.5,38.0,4.1,True to size,,4.0,4.0,115.1,87.0,32.3,24.0,8.71,247.0,3.0,2.0,2.0,84.0,3.9,3.7,$180,No,0.9,Both sides (semi),,Yes,Medium,Normal,Normal,,,,,26.1,101.7,79.0
Puma,Deviate Nitro Elite,https://runrepeat.com/puma-deviate-nitro-elite,Apr 2021,"Jun 26, 2023",Running,93.0,"Our verdict: PUMA's maiden voyage into the supershoe world delivers a fantastic performance at a reasonable price. Even though it's built as a marathon shoe, we think this modern-day racing flat excels for interval training and 5K/10K races.",,Competition,Forefoot/Midfoot strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Lightweight","Mighty fast, Stable, Racer fit, Natural ride, Secure heel clutch, Breathable, Durable, Looks amazing, Soft and bouncy midsole, Fantastic grip","Scratchy upper with subpar durability, Narrow fit, Needs more stack height for marathons",31.1,25.4,5.7,14.8,19.9,35.0,3.3,True to size,,5.0,1.0,109.8,84.7,57.3,40.0,7.05,200.0,5.0,1.0,4.0,71.8,,1.9,$200,Yes,5.1,One side (semi),,Yes,Medium,Normal,Normal,,,,,41.0,91.6,72.8
Puma,Velocity Nitro,https://runrepeat.com/puma-velocity-nitro,Mar 2021,"Mar 31, 2021",Running,92.0,"Our verdict: The PUMA Velocity Nitro is a versatile daily trainer, and from my observations and experience, it packs some upper-market features at a lower price point. With a comfy midsole, nice energy return, and grip that might make you give a gravel pathway a second glance, I found the Velocity Nitro to be a really appealing workhorse shoe.",,"Daily running, Tempo",Heel strike,"Mesh, Mesh",Road,Maximalist,"Fits true to size, Incredible price point, Excellent all-rounder, Perfect lockdown, Plush feel, Budget friendly, Incredible grip","Not very fast, A little heavy",35.7,24.2,11.5,,,,5.8,True to size,,,,109.9,84.8,42.9,22.0,9.45,268.0,,,,73.5,,3.5,$120,,5.0,,,,,,,,,,,35.1,101.8,
On,Cloudmonster Hyper,https://runrepeat.com/on-cloudmonster-hyper,,"May 27, 2024",Running,89.0,"Our verdict: The On Cloudmonster Hyper is a wonderful blend of the racer Cloudboom Echo 3 and the daily trainer Cloudmonster 2. We found that it boasts the responsive Helion HF foam and the weight savings of the former while adopting the CloudTec design and robust outsole of the latter—minus the Speedboard plate to enhance flexibility. Despite its premium price and some breathability issues, we think it’s a fantastic attempt by On at crafting its first supertrainer.",,"Daily running, Tempo",Forefoot/Midfoot strike,"Mesh, Mesh",Road,"Comfortable  |, |, Maximalist","Roomy upper for a performance shoe, Lighter than the Cloudmonster 2, High-quality materials, Well-balanced stack and stability, Comfortable for easy runs, Durable outsole, Wonderful lacing system","High price, Not the best for heel strikers, Needs more ventilation",39.7,33.0,6.7,17.5,21.3,21.0,4.4,True to size,26.6,4.0,3.0,114.8,87.9,30.4,31.0,9.1,258.0,3.0,3.0,1.0,86.0,0.6,2.8,$220,No,2.6,Both sides (semi),,Yes,,,,,28.8,,,19.5,101.4,76.8
Reebok,Floatride Energy 5,https://runrepeat.com/reebok-floatride-energy-5,"Mar 31, 2023","Jul 21, 2023",Running,87.0,"Our verdict: The Floatride Energy series from Reebok, a trusted favorite among beginner runners, returns with its fifth iteration. This version continues to impress us, delivering a stable, feature-packed, lightweight daily trainer at an attractive price. While it falls short on breathability, in our tests, it provides ample comfort on short and long runs, proving once again its worth as a versatile all-rounder.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,"For heavy runners  |, |, For big guys","Affordable, Impressively stable, Exceptionally well-suited for cold weather, Superior grip on dry roads, Eye-catching colorways available, Lightweight, Environmentally friendly, Versatile across a variety of distances","Poor breathability, Some break-in period needed, 6-mm drop may be too low for some runners",30.2,24.2,6.0,26.5,28.8,9.0,3.7,Slightly large,,2.0,2.0,109.8,94.7,21.9,20.0,8.96,254.0,2.0,1.0,3.0,80.5,0.8,3.1,$110,No,8.0,Both sides (semi),,Yes,,,,,,,,18.2,99.3,77.1
Altra,Paradigm 7,https://runrepeat.com/altra-paradigm-7,,"Oct 5, 2023",Running,82.0,"Our verdict: The Altra Paradigm 7 shines as a zero-drop daily trainer, appealing to both neutral runners and those with mild pronation. Its standout feature, the abundant Ego Max cushioning, ensures a perfect balance of responsive and cushioned ride. While the foot-shaped upper allows for amazing toe splay for everyone, we found the added stability makes this model particularly welcoming for newcomers to the Altra brand. However, the shoe comes at a higher price point and is not optimized for tempo training.",,Daily running,Forefoot/Midfoot strike,"Mesh, Vegan  |, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, Low drop  |, |, Zero drop","Exceptional space for toe splay, Highly stable and supportive, Really light, Features Ego Max foam for added comfort, Innerflex technology promotes natural midfoot striking, Outstanding durability, Versatile for walking or gym use, Genuine zero-drop design!","Becomes uncomfortably firm and stiff in cold weather, Priced on the higher end of the spectrum at $170, Not suitable for fast-paced running",27.6,27.5,0.1,19.4,29.8,54.0,4.4,True to size,29.9,3.0,2.0,113.8,92.0,36.1,67.0,9.31,264.0,5.0,3.0,2.0,83.6,0.5,2.7,$170,Yes,5.6,,,Yes,,,,,,,,17.1,99.44999999999999,84.2
Brooks,Revel 7,https://runrepeat.com/brooks-revel-7,,"Jul 31, 2024",Running,85.0,"Our verdict: We found that the Brooks Revel 7 remains a standout for affordability and quality. It's durable, well-ventilated, comfortable, and surprisingly lightweight, boasting features rare in budget-friendly shoes. Despite its less exciting ride and boring aesthetics, we believe it's one of the best value options on the market again this year.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable","Exceptional value, Highly breathable upper, Impressively low weight, Gusseted tongue, Ideal for new runners, Great for heel strikers, Robust durability","Ride lacks excitement, Low energy return, Forefoot cushioning",32.0,22.2,9.8,19.5,24.6,26.0,4.9,True to size,27.2,4.0,4.0,111.3,89.0,25.9,29.0,9.1,258.0,5.0,4.0,3.0,79.5,0.7,3.8,$100,No,4.5,Both sides (semi),,Yes,,,,,,,,17.950000000000003,96.80000000000001,76.2
